imagen,link,nombre,precio
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/i/k/ikonikus_2_1.jpg,https://zacatrus.es/ikonikus.html,"
                                Ikonikus                            ","12,55 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/p/i/picnic.png,https://zacatrus.es/picnic-2020.html,"
                                Picnic                            ","9,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/h/o/horse-fever-1.jpg,https://zacatrus.es/horse-fever.html,"
                                Horse Fever                            ","16,25 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/r/criaturasdeseriebexpansioni_caja.png,https://zacatrus.es/criaturas-de-serie-b-expansion-i.html,"
                                Criaturas de serie B - Expansión I                            ","8,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/p/e/pelusas-revolution.jpg,https://zacatrus.es/pelusas-revolution.html,"
                                Pelusas Revolution                            ","13,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/d/r/draftosaurus_1.jpg,https://zacatrus.es/draftosaurus.html,"
                                Draftosaurus                            ","19,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/o/coup-x--render.jpg,https://zacatrus.es/coup-x.html,"
                                Coup X                            ","14,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/cabezasherlock_resultado.jpg,https://zacatrus.es/unlock-miniaventuras-en-la-cabeza-de-sherlock-holmes.html,"
                                Unlock! Miniaventuras: En la Cabeza de Sherlock Holmes                            ","6,29 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/p/a/paquetes-de-refuerzo-24-unidades-archazias-island-ingles-disney-lorcana-tcg_resultado.jpg,https://zacatrus.es/lorcana-archazia-s-island-booster.html,"
                                Lorcana - Archazia’s Island: Booster                            ","5,03 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/a/l/altered2_resultado.jpg,https://zacatrus.es/altered-la-prueba-del-hielo-sobre.html,"
                                Altered: La Prueba del Hielo - Sobre                            ","1,97 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/z/e/zenith-render_resultado.jpg,https://zacatrus.es/zenith.html,"
                                Zenith                            ","33,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/u/n/unanimo_box2025.jpg,https://zacatrus.es/unanimo.html,"
                                Unánimo                            ","14,35 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-unlock-mini-gato_resultado.jpg,https://zacatrus.es/unlock-miniaventuras-el-gato-de-schrodinger.html,"
                                Unlock! Miniaventuras: El Gato de Schrödinger                            ","6,99 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/a/l/alteredsusurroslaberinto_resultado.jpg,https://zacatrus.es/altered-susurros-del-laberinto.html,"
                                Altered: Susurros del Laberinto                            ","2,62 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/t/e/teto.jpg,https://zacatrus.es/teto.html,"
                                Teto                            ","15,30 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/t/ft-kl-peligros-del-bosque.jpg,https://zacatrus.es/kingdom-legacy-peligros-del-bosque.html,"
                                Kingdom Legacy: Peligros del Bosque                            ","7,20 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/i/circusflo.jpg,https://zacatrus.es/circus-flohcati.html,"
                                Circus Flohcati                            ","11,65 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/d/u/duplik_resultado.jpg,https://zacatrus.es/duplik-2025.html,"
                                Duplik                            ","22,49 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/u/fuegoyespada.jpg,https://zacatrus.es/guerra-del-anillo-el-juego-de-cartas-fuego-y-espadas.html,"
                                Guerra del Anillo: El Juego de Cartas - Fuego y Espadas                            ","26,99 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/o/forestshuffledartmor_resultado.jpg,https://zacatrus.es/forest-shuffle-dartmoor.html,"
                                Forest Shuffle: Dartmoor                            ","25,19 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/7/w/7wondersdice_resultado.jpg,https://zacatrus.es/7-wonders-dice.html,"
                                7 Wonders Dice                            ","26,99 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/o/comingofage_resultado.jpg,https://zacatrus.es/coming-of-age.html,"
                                Coming of Age                            ","49,49 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/cathood.jpg,https://zacatrus.es/cathood.html,"
                                Cathood                            ","27,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/z/_zac052_posavasos_2.png,https://zacatrus.es/posavasos-2-0.html,"
                                Posavasos 2.0                            ","6,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/s/u/sushi-go.jpg,https://zacatrus.es/sushi-go.html,"
                                Sushi Go                            ","8,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/cat_n-devir_1.jpg,https://zacatrus.es/catan-los-colonos-de.html,"
                                Catán, Los Colonos de                             ","38,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/a/v/aventura-z-lovecraft.jpg,https://zacatrus.es/aventura-z-vol-1-lovecraft.html,"
                                Aventura Z: Vol. 1 Lovecraft                            ","26,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego_ft_obsesion.jpg,https://zacatrus.es/obsesion.html,"
                                Obsesión                            ","63,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-exploradores-bosques_resultado.jpg,https://zacatrus.es/exploradores-de-los-bosques.html,"
                                Exploradores de los Bosques                            ","26,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/t/i/tirnanog.jpg,https://zacatrus.es/tir-na-nog.html,"
                                Tír na nÓg                            ","24,94 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/t/_trg-117car_carnival_of_sins_resultado.jpg,https://zacatrus.es/carnival-of-sins.html,"
                                Carnival of Sins                            ","16,15 €"
